	RowInd	ColInd	GridLat	GridLong
co26802	6.0	882.0	89.45833587646484	-106.45833587646484
co26814	6.0	894.0	89.45833587646484	-105.45833587646484
co26826	6.0	906.0	89.45833587646484	-104.45833587646484
co26838	6.0	918.0	89.45833587646484	-103.45833587646484
co26850	6.0	930.0	89.45833587646484	-102.45833587646484
co26862	6.0	942.0	89.45833587646484	-101.45833587646484
co26874	6.0	954.0	89.45833587646484	-100.45833587646484
co26886	6.0	966.0	89.45833587646484	-99.45833587646484
co26898	6.0	978.0	89.45833587646484	-98.45833587646484
co26910	6.0	990.0	89.45833587646484	-97.45833587646484
co26922	6.0	1002.0	89.45833587646484	-96.45833587646484
co26934	6.0	1014.0	89.45833587646484	-95.45833587646484
co26946	6.0	1026.0	89.45833587646484	-94.45833587646484
co26958	6.0	1038.0	89.45833587646484	-93.45833587646484
co26970	6.0	1050.0	89.45833587646484	-92.45833587646484
co26982	6.0	1062.0	89.45833587646484	-91.45833587646484
co26994	6.0	1074.0	89.45833587646484	-90.45833587646484
co27006	6.0	1086.0	89.45833587646484	-89.45833587646484
co27018	6.0	1098.0	89.45833587646484	-88.45833587646484
co27030	6.0	1110.0	89.45833587646484	-87.45833587646484
co27042	6.0	1122.0	89.45833587646484	-86.45833587646484
co27054	6.0	1134.0	89.45833587646484	-85.45833587646484
co27066	6.0	1146.0	89.45833587646484	-84.45833587646484
co27078	6.0	1158.0	89.45833587646484	-83.45833587646484
co27090	6.0	1170.0	89.45833587646484	-82.45833587646484
co27102	6.0	1182.0	89.45833587646484	-81.45833587646484
co27114	6.0	1194.0	89.45833587646484	-80.45833587646484
co27126	6.0	1206.0	89.45833587646484	-79.45833587646484
co27138	6.0	1218.0	89.45833587646484	-78.45833587646484
co27150	6.0	1230.0	89.45833587646484	-77.45833587646484
co27162	6.0	1242.0	89.45833587646484	-76.45833587646484
co27174	6.0	1254.0	89.45833587646484	-75.45833587646484
co27186	6.0	1266.0	89.45833587646484	-74.45833587646484
co27198	6.0	1278.0	89.45833587646484	-73.45833587646484
co27210	6.0	1290.0	89.45833587646484	-72.45833587646484
co27222	6.0	1302.0	89.45833587646484	-71.45833587646484
co27234	6.0	1314.0	89.45833587646484	-70.45833587646484
co27246	6.0	1326.0	89.45833587646484	-69.45833587646484
co27258	6.0	1338.0	89.45833587646484	-68.45833587646484
co27270	6.0	1350.0	89.45833587646484	-67.45833587646484
co27282	6.0	1362.0	89.45833587646484	-66.45833587646484
co27294	6.0	1374.0	89.45833587646484	-65.45833587646484
co27306	6.0	1386.0	89.45833587646484	-64.45833587646484
co27318	6.0	1398.0	89.45833587646484	-63.45833206176758
co27330	6.0	1410.0	89.45833587646484	-62.45833206176758
co27342	6.0	1422.0	89.45833587646484	-61.45833206176758
co27354	6.0	1434.0	89.45833587646484	-60.45833206176758
co27366	6.0	1446.0	89.45833587646484	-59.45833206176758
co27378	6.0	1458.0	89.45833587646484	-58.45833206176758
co27390	6.0	1470.0	89.45833587646484	-57.45833206176758
co27402	6.0	1482.0	89.45833587646484	-56.45833206176758
co27414	6.0	1494.0	89.45833587646484	-55.45833206176758
co27426	6.0	1506.0	89.45833587646484	-54.45833206176758
co27438	6.0	1518.0	89.45833587646484	-53.45833206176758
co27450	6.0	1530.0	89.45833587646484	-52.45833206176758
co27462	6.0	1542.0	89.45833587646484	-51.45833206176758
co27474	6.0	1554.0	89.45833587646484	-50.45833206176758
co27486	6.0	1566.0	89.45833587646484	-49.45833206176758
co27498	6.0	1578.0	89.45833587646484	-48.45833206176758
co27510	6.0	1590.0	89.45833587646484	-47.45833206176758
co27522	6.0	1602.0	89.45833587646484	-46.45833206176758
co27534	6.0	1614.0	89.45833587646484	-45.45833206176758
co27546	6.0	1626.0	89.45833587646484	-44.45833206176758
co27558	6.0	1638.0	89.45833587646484	-43.45833206176758
co27570	6.0	1650.0	89.45833587646484	-42.45833206176758
co27582	6.0	1662.0	89.45833587646484	-41.45833206176758
co27594	6.0	1674.0	89.45833587646484	-40.45833206176758
co27606	6.0	1686.0	89.45833587646484	-39.45833206176758
co27618	6.0	1698.0	89.45833587646484	-38.45833206176758
co27630	6.0	1710.0	89.45833587646484	-37.45833206176758
co27642	6.0	1722.0	89.45833587646484	-36.45833206176758
co27654	6.0	1734.0	89.45833587646484	-35.45833206176758
co27666	6.0	1746.0	89.45833587646484	-34.45833206176758
co27678	6.0	1758.0	89.45833587646484	-33.45833206176758
co27690	6.0	1770.0	89.45833587646484	-32.45833206176758
co27702	6.0	1782.0	89.45833587646484	-31.45833396911621
co27714	6.0	1794.0	89.45833587646484	-30.45833396911621
co27726	6.0	1806.0	89.45833587646484	-29.45833396911621
co27738	6.0	1818.0	89.45833587646484	-28.45833396911621
co27750	6.0	1830.0	89.45833587646484	-27.45833396911621
co27762	6.0	1842.0	89.45833587646484	-26.45833396911621
co27774	6.0	1854.0	89.45833587646484	-25.45833396911621
co27786	6.0	1866.0	89.45833587646484	-24.45833396911621
co27798	6.0	1878.0	89.45833587646484	-23.45833396911621
co27810	6.0	1890.0	89.45833587646484	-22.45833396911621
co27822	6.0	1902.0	89.45833587646484	-21.45833396911621
co27834	6.0	1914.0	89.45833587646484	-20.45833396911621
co27846	6.0	1926.0	89.45833587646484	-19.45833396911621
co27858	6.0	1938.0	89.45833587646484	-18.45833396911621
co27870	6.0	1950.0	89.45833587646484	-17.45833396911621
