	CHL_chlor_a	KD490_Kd_490	PIC_pic	POC_poc	PAR_par	FLH_nflh	RRS_Rrs_412	RRS_Rrs_443	RRS_Rrs_469	RRS_Rrs_488	RRS_Rrs_531	RRS_Rrs_547	RRS_Rrs_555	RRS_Rrs_645	RRS_Rrs_667	RRS_Rrs_678	SST	GridLat	GridLong
G0017	0.11338285249999999	0.028399999000000002	1.99973585e-05	36.0	26.126998999999998	0.0524950035	0.00816400175	0.0072990003000000005	0.006502002450000001	0.0052730012	0.001995001	0.00151500105	0.00131200065	0.0001480002	0.000149000435	0.00016699918	21.297499000000002	34.458332	14.8750105
G0018	0.110615485	0.0287	2.19978395e-05	36.099853499999995	25.947998	0.052962542	0.0083659998	0.0074579995	0.006624	0.00536500115	0.00203800015	0.00155200255	0.0013430007	0.00015999935500000002	0.000156000255	0.00017400085999999998	21.4	34.458332	14.958339
G0019	0.1097040825	0.0287	1.89952555e-05	36.100098	26.668999	0.0504549735	0.0084460005	0.0075120015000000005	0.00665300165	0.00540300085	0.0020490009	0.0015600007	0.00135600005	0.00017200038	0.000160999595	0.00017800181999999998	21.432499	34.374996	15.041667
G0020	0.12881289499999998	0.0303	1.1995435e-05	39.699951	26.098999	0.043400049499999996	0.0072870013	0.0064749997	0.005885999649999999	0.004876000849999999	0.0019220002000000002	0.00146200135	0.00125800075	0.00015100092	0.000153999775	0.00016700104	21.555	34.208332	13.791667
G0021	0.124695315	0.029699999	1.3999641e-05	38.599853499999995	26.3039995	0.045525074	0.0075090006	0.006674001000000001	0.0060370006	0.004962001	0.0019280017000000002	0.00146200135	0.00125700045	0.00015800074	0.00015500188	0.0001699999	21.745	34.208332	13.958339
G0022	0.12746469500000002	0.0326	2.29962175e-05	42.300049	19.687998	0.05993259	0.0079170018	0.0070270001500000005	0.0062620007	0.0053160004	0.0022050012	0.00167400015	0.00142700035	0.000132000075	0.00017100200000000001	0.00019400008	20.1	33.958332	32.87501
G0023	0.12777512	0.032799999999999996	2.2996217e-05	42.399902499999996	36.561999	0.022107482	0.0078460013	0.0071450005	0.0064780023499999995	0.0053870007	0.0023350008	0.00171300025	0.0014730003	0.00012500025	0.00014600158	0.00014800019999999998	25.3924995	40.708332	2.8750103
G0024	0.120370845	0.0313999975	1.9997358500000003e-05	40.399902	37.1599985	0.0198125835	0.0081220005	0.0073800013	0.006643001000000001	0.0054920018	0.00231500155	0.00169200075	0.00145599995	0.000129001217	0.00014500134	0.00014499947499999998	25.527500000000003	40.624996	2.8750103
G0025	0.085945013	0.0256999995	1.2997538e-05	31.699951499999997	39.022	0.013564944499999999	0.010028001	0.0086940005	0.007557001000000001	0.00599700215	0.00220000185	0.0015840009	0.0013400018	9.099952750000001e-05	0.000121001155	0.0001240018775	26.209999500000002	39.124996	5.7916665
G0026	0.0856309225	0.0256999995	1.3999641e-05	31.8999025	39.602000000000004	0.0158600815	0.0100380015	0.00872000125	0.0075840000000000005	0.00602000025	0.00220700165	0.0015950017	0.0013500005	9.5000493e-05	0.00011900067199999999	0.00012299977	26.132499	39.124996	5.87501
G0027	0.11632774200000001	0.029699998999999998	1.1995435e-05	37.599853499999995	39.041998500000005	0.0279300215	0.008542999499999999	0.0072640013	0.0064880009499999995	0.0052740015	0.00212300015	0.0015490018	0.00131400115	0.00012000091499999999	0.00014000014	0.00014700182	25.5075	38.041664	3.9583385
G0028	0.13866235500000001	0.0304999985	1.1995435e-05	40.699951	38.599000000000004	0.0174324515	0.0068480018	0.0061910023	0.00570100165	0.0047549997	0.0019460003500000001	0.00143300185	0.0012200009	7.900037000000001e-05	9.8001212e-05	0.00010100007000000001	25.375	37.041664	1.9583384
G0029	0.29530860000000003	0.050199998499999995	3.49991025e-05	82.59985499999999	43.0849985	0.0470124485	0.00444599975	0.0045030005	0.00462700055	0.00421500025	0.00232500025	0.00181500055	0.0015870016	8.600205350000001e-05	9.50023525e-05	0.00011399947000000001	22.905	36.541664	-6.5416617
G0030	2.0462162	0.1978	3.69958585e-05	182.699705	42.478999	0.17489504500000003	0.0038400012999999997	0.0034710000999999997	0.0034469999	0.0031640008	0.00224000025	0.00191400205	0.00173000055	0.0001750011	0.00018900074	0.00028700195	21.345	36.541664	-4.0416617
G0031	1.8024694	0.1806	3.09981405e-05	195.0998525	42.408999	0.163547515	0.0039910004	0.0036280007	0.00358300095	0.0032740011499999997	0.0022550001500000003	0.0019090007500000001	0.0017190017	0.0001690015175	0.00018399954	0.000275000925	21.612499999999997	36.541664	-3.9583333
G0032	0.147240855	0.0347999985	2.6997179e-05	46.399902499999996	41.4739985	0.030820012	0.00702500165	0.006256001000000001	0.0058440008	0.00494899965	0.00220300075	0.00164100155	0.0013990011	0.00012000091499999999	0.00012200139700000001	0.0001330021775	23.4375	36.041664	-4.4583335
G0033	0.14952041	0.0316	1.1995435e-05	46.600098	32.394000000000005	0.056362510000000005	0.0058090017	0.00514400195	0.00497400025	0.0043870005	0.00177700075	0.0013590008	0.00115000085	0.000135000795	0.0001170020575	0.00014200061500000002	24.709999500000002	27.124998	34.791668
G0034	0.1496469	0.031799999999999995	1.1995435e-05	46.599853499999995	32.466997	0.056574940000000004	0.005904002	0.00523500145	0.0050400011	0.004437001350000001	0.0018029995	0.001383001	0.00116799955	0.0001440011	0.000119000675	0.0001440011	24.7425	27.124998	34.87501
G0035	0.1608563	0.033999999	1.1995435e-05	50.5	36.553	0.048882484000000004	0.0056900009	0.005184000350000001	0.0050530005	0.004476001449999999	0.0018940009	0.0014520008	0.00122899935	0.00013000146	0.000115999955	0.00013799965	25.745	23.374998	37.20834
G0036	0.24338760999999998	0.0443	1.1995435e-05	75.39990499999999	36.138999999999996	0.060187459	0.0031680017499999998	0.00347100195	0.0036639999999999997	0.0034440011	0.0017130021	0.00134700165	0.0011420026	0.000110000372	0.000127000735	0.00015900098	26.6124995	22.124998	38.20834
G0037	0.25785598499999995	0.046599999	1.1995435e-05	78.0	36.168	0.056064962999999995	0.0033040009	0.00352500195	0.0037230010999999997	0.00350300035	0.0017889999	0.0014250018	0.00122100115	0.00014000200000000002	0.000138999895	0.00017100014	26.6974995	21.958334	38.291668
G0038	0.26120281	0.0468	1.1995435e-05	80.59985499999999	37.3229985	0.09274244300000001	0.0027460009	0.0030610002500000002	0.00329600085	0.0031270012	0.001662001	0.0012940001	0.00111900085	6.7001209e-05	0.00011400133	0.00015000068	27.1849995	18.458334	39.87501
G0039	0.24663295	0.0458	1.1995435e-05	79.4997575	37.351998	0.09112751499999999	0.00259600015	0.0029630009000000002	0.0032059997	0.0030210000000000002	0.00158699975	0.0012330003	0.00106900185	5.1999465e-05	0.00010599941	0.00014200062	27.1674995	18.374998	39.87501
G0040	0.12288573	0.0335999995	9.5997006e-05	45.0	51.0939985	0.032604933	0.0089810005	0.00780300215	0.0070709996	0.00605400095	0.00259600015	0.0019740015	0.00157899965	0.000228000805	0.00020000152500000001	0.00017400086	24.5775	-8.708339	-17.958334
G0041	0.124967415	0.0337999985	9.29981475e-05	45.0	50.965	0.037194967	0.008727001	0.0076830015	0.00696900115	0.005981002	0.0025790017	0.0019680001	0.00157500055	0.000227000565	0.000200999905	0.0001730006175	24.425	-8.791667	-17.87499
G0042	0.06900131000000001	0.0236999995	1.79968775e-05	29.0	48.4629975	0.02529502	0.012434002	0.00974499975	0.008193001	0.00656200015	0.002255002	0.001631001	0.0013260003	0.000130001455	0.00012700073500000001	0.000132000075	23.5899995	-20.958338	-35.29166
G0043	0.067773755	0.0236999995	1.6000122e-05	28.599853500000002	50.4599985	0.030777573500000002	0.012578001	0.009821001	0.008219	0.0065550022999999995	0.0022350010000000003	0.00162399935	0.0013170019	0.000136001035	0.000122999775	0.000132000075	23.6799995	-20.958338	-35.208332
G0044	0.16145621999999998	0.0386999975	1.2997538e-05	52.300049	43.7459985	0.0502425435	0.00700300185	0.006136002	0.00562200135	0.00498100175	0.0022750013	0.00175900195	0.0014590006	0.000210002065	0.000137001275	0.00015600211999999998	22.734999000000002	-29.125002	154.29167
G0045	0.17132552499999998	0.040499999999999994	1.2997538e-05	54.399902	43.667	0.045950055000000004	0.00677700155	0.0059440006	0.0054590013	0.00485100035	0.00228100085	0.00177700075	0.00148400105	0.00021600164	0.00014700182	0.00016400032	22.6974995	-29.375002	154.20836
G0046	0.171206365	0.0406	1.1995435e-05	54.399902	43.657996999999995	0.0433574915	0.0067689996499999995	0.00591900015	0.0054500009999999995	0.0048400015	0.0022770018	0.001778001	0.00148800015	0.00023300015000000002	0.0001440011	0.00016199984	22.79	-29.625002	154.20836
G0047	0.186082095	0.042499999	1.2997538e-05	57.399902499999996	44.773999	0.050157547499999997	0.00650300085	0.00575200095	0.0053080022	0.00476700075	0.0023170002500000004	0.00181199985	0.00152400135	0.000221000985	0.00015000068	0.00016700104	22.5475	-29.708338	154.12502
